	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
254	Single Protein	OAS_antibody_pep_60735		OAS_antibody_pep_60735						100.0	100.0	100.0	2	2	1	1	2	2	Pyrolidone from E (E0)	Pyrolidone from E (1)			66.09534574003328	1.6328583680756001	100.0	Confident
255	Single Protein	P26927	Hepatocyte growth factor-like protein (HGFL_HUMAN)	P26927		3	MST1	Homo sapiens	9606	11.95	17.16	71.17	9	7	5	4	14	12					15.326456983196122	80.26752539769957	100.0	Confident
256	Single Protein	P20851-2	Isoform 2 of C4b-binding protein beta chain (C4BPB_HUMAN)	P20851-2		1	C4BPB	Homo sapiens	9606	32.67	32.67	79.28	9	7	1	1	22	20					33.656591465611584	28.26740567124954	100.0	Confident
257	Related Proteins	P02671	Fibrinogen alpha chain (FIBA_HUMAN)	P02671,P02671-2	P02671-2	4	FGA	Homo sapiens	9606	19.75	22.4	57.04	25	20	25	20	45	42	Oxidation of M (M225, M535, M602);Phosphorylation of S (S21);Pyrolidone from E (K557)	Oxidation of M (3);Phosphorylation of S (1);Pyrolidone from E (1)			55.65923851792275	94.91441497589805	100.0	Confident
258	Single Protein	P25311	Zinc-alpha-2-glycoprotein (ZA2G_HUMAN)	P25311		7	AZGP1	Homo sapiens	9606	46.31	54.7	73.15	18	15	18	15	32	29	Pyrolidone from Q (R74, K164, R202)	Pyrolidone from Q (3)			87.31862189508983	34.237104693676876	100.0	Confident
259	Single Protein	P19823	Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN)	P19823		10	ITIH2	Homo sapiens	9606	34.99	36.47	65.12	44	35	43	34	156	118	Oxidation of M (M161, M452)	Oxidation of M (2)			130.4739292530527	106.3966093013835	100.0	Confident
260	Related Proteins	P06681	Complement C2 (CO2_HUMAN)	P06681,P06681-3	P06681-3	6	C2	Homo sapiens	9606	26.86	30.05	70.74	26	21	4	3	55	48	Oxidation of M (M226, M305, M451);Pyrolidone from Q (R739)	Oxidation of M (3);Pyrolidone from Q (1)	Oxidation of M (G358-{358 361})	Oxidation of M (1)	62.285338341484994	83.21431321580333	99.66887417218543	Confident
261	Single Protein	OAS_antibody_pep_31732		OAS_antibody_pep_31732						100.0	100.0	100.0	2	2	1	1	2	2					50.35835865907297	2.3491389595828	100.0	Confident
262	Single Protein	P05109	Protein S100-A8 (S10A8_HUMAN)	P05109		1	S100A8	Homo sapiens	9606	12.9	20.43	84.95	2	1	2	1	2	1					8.924266091481286	10.82764922179454	96.55172413793103	Doubtful
263	Single Protein	A0A075B6K5	Immunoglobulin lambda variable 3-9 (LV39_HUMAN)	A0A075B6K5		22	IGLV3-9	Homo sapiens	9606	45.22	54.78	63.48	4	3	2	2	8	7					43.459953363309545	12.32407738655862	100.0	Confident
264	Single Protein	P51884	Lumican (LUM_HUMAN)	P51884		12	LUM	Homo sapiens	9606	21.89	24.26	64.79	6	5	6	5	14	12					35.411813851585556	38.404794614935646	100.0	Confident
265	Related Proteins	OAS_antibody_pep_12822		OAS_antibody_pep_12822,OAS_antibody_pep_38443	OAS_antibody_pep_38443					100.0	100.0	100.0	3	2	1	1	5	4	Oxidation of M (M14)	Oxidation of M (1)			74.21231802389701	2.11992441611343	96.42857142857143	Confident
266	Single Protein	P49908	Selenoprotein P (SEPP1_HUMAN)	P49908		5	SELENOP	Homo sapiens	9606	6.04	10.5	61.15	3	2	3	2	3	2					6.051648250875722	43.156333664334035	100.0	Confident
267	Single Protein	P07357	Complement component C8 alpha chain (CO8A_HUMAN)	P07357		1	C8A	Homo sapiens	9606	30.14	30.14	63.53	15	12	15	12	28	26	Oxidation of M (M460)	Oxidation of M (1)			47.507885527427334	65.12103556905049	100.0	Confident
268	Single Protein	Q96IY4	Carboxypeptidase B2 (CBPB2_HUMAN)	Q96IY4		13	CPB2	Homo sapiens	9606	25.3	34.75	49.88	14	9	4	3	32	26					73.50888372983162	48.39344168160864	100.0	Confident
269	Single Protein	OAS_antibody_pep_20476		OAS_antibody_pep_20476						100.0	100.0	100.0	2	2	2	2	4	4	Pyrolidone from E (E0)	Pyrolidone from E (1)			148.42463604779402	1.93903745463638	100.0	Confident
270	Related Proteins	A0A0C4DH36	Probable non-functional immunoglobulin heavy variable 3-38 (HV338_HUMAN)	A0A0C4DH36,OAS_antibody_pep_12596,OAS_antibody_pep_13465,OAS_antibody_pep_20803,OAS_antibody_pep_2139,OAS_antibody_pep_28225,OAS_antibody_pep_40695,OAS_antibody_pep_47381,OAS_antibody_pep_48672,OAS_antibody_pep_69226,OAS_antibody_pep_7185,OAS_antibody_pep_74398,OAS_antibody_pep_9147	OAS_antibody_pep_12596,OAS_antibody_pep_13465,OAS_antibody_pep_20803,OAS_antibody_pep_2139,OAS_antibody_pep_28225,OAS_antibody_pep_40695,OAS_antibody_pep_47381,OAS_antibody_pep_48672,OAS_antibody_pep_69226,OAS_antibody_pep_7185,OAS_antibody_pep_74398,OAS_antibody_pep_9147	14	IGHV3-38	Homo sapiens	9606	9.48	9.48	89.66	2	1	2	1	2	2					6.779009819490592	12.75038110319436	98.24561403508771	Doubtful
271	Single Protein	P01860	Immunoglobulin heavy constant gamma 3 (IGHG3_HUMAN)	P01860		14	IGHG3	Homo sapiens	9606	66.05	66.05	63.93	89	72	20	15	617	476	Oxidation of M (M287, M326, M357);Pyrolidone from E (R273);Pyrolidone from Q (N290);Pyrolidone from carbamidomethylated C (R157)	Oxidation of M (3);Pyrolidone from E (1);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (1)			687.7085120613516	41.26036100276924	100.0	Confident
272	Single Protein	P01591	Immunoglobulin J chain (IGJ_HUMAN)	P01591		4	JCHAIN	Homo sapiens	9606	21.38	34.59	66.67	8	5	8	5	19	16					93.11545563375756	18.08699468840874	100.0	Confident
273	Single Protein	OAS_antibody_pep_37536		OAS_antibody_pep_37536						100.0	100.0	100.0	3	3	1	1	6	6					124.7179233457158	1.8809955898244	100.0	Confident
274	Single Protein	Q86U17	Serpin A11 (SPA11_HUMAN)	Q86U17		14	SERPINA11	Homo sapiens	9606	5.69	5.69	46.21	3	2	3	2	5	4					14.461887614913262	46.95946844169166	100.0	Confident
275	Single Protein	OAS_antibody_pep_90204		OAS_antibody_pep_90204						100.0	100.0	100.0	1	1	1	1	4	4					201.43343463629188	1.4167361276846	87.3015873015873	Doubtful
276	Single Protein	CAS1_BOVIN		CAS1_BOVIN						24.77	24.77	71.5	4	4	4	4	8	7	Phosphorylation of S (S129)	Phosphorylation of S (1)			32.255680709733014	24.51342609079061	100.0	Confident
277	Single Protein	P55103	Inhibin beta C chain (INHBC_HUMAN)	P55103		12	INHBC	Homo sapiens	9606	5.4	15.63	59.66	4	1	3	1	6	2					3.357223910604865	38.21343385065589	96.61016949152543	Doubtful
278	Single Protein	P55056	Apolipoprotein C-IV (APOC4_HUMAN)	P55056		19	APOC4	Homo sapiens	9606	28.35	39.37	59.84	8	5	8	5	13	11	Oxidation of M (M81)	Oxidation of M (1)			83.48885777688413	14.54345041425152	100.0	Confident
279	Single Protein	P07988	Pulmonary surfactant-associated protein B (PSPB_HUMAN)	P07988		2	SFTPB	Homo sapiens	9606	12.86	12.86	36.48	6	4	6	4	13	11	Oxidation of M (M264)	Oxidation of M (1)			45.64858410822442	42.088916933551	100.0	Confident
280	Single Protein	P00742	Coagulation factor X (FA10_HUMAN)	P00742		13	F10	Homo sapiens	9606	22.34	26.23	60.45	10	8	10	8	19	17	Pyrolidone from Q (K409)	Pyrolidone from Q (1)			40.62809952833684	54.69651403738841	100.0	Confident
281	Related Proteins	Q92496	Complement factor H-related protein 4 (FHR4_HUMAN)	Q92496,Q92496-2,Q92496-3	Q92496-2,Q92496-3	1	CFHR4	Homo sapiens	9606	3.81	7.44	34.95	2	1	1	1	2	1					1.7450916367005487	65.30779806391006	100.0	Doubtful
282	Single Protein	P02042	Hemoglobin subunit delta (HBD_HUMAN)	P02042		11	HBD	Homo sapiens	9606	48.3	54.42	89.8	11	9	2	1	34	30					80.11557059397973	16.04528986099705	100.0	Confident
283	Single Protein	P05452	Tetranectin (TETN_HUMAN)	P05452		3	CLEC3B	Homo sapiens	9606	19.8	24.26	61.88	5	3	5	3	11	10	Pyrolidone from carbamidomethylated C (R187)	Pyrolidone from carbamidomethylated C (1)			45.12108935852938	22.52227358319263	100.0	Confident
284	Single Protein	P22352	Glutathione peroxidase 3 (GPX3_HUMAN)	P22352		5	GPX3	Homo sapiens	9606	11.95	19.47	58.85	4	2	2	2	7	3					10.601759717699572	25.53690398944776	100.0	Confident
285	Single Protein	P05062	Fructose-bisphosphate aldolase B (ALDOB_HUMAN)	P05062		9	ALDOB	Homo sapiens	9606	15.93	19.78	56.32	7	6	6	6	8	8	Oxidation of M (M250)	Oxidation of M (1)			24.073751944337328	39.44806022099728	100.0	Confident
286	Single Protein	P05090	Apolipoprotein D (APOD_HUMAN)	P05090		3	APOD	Homo sapiens	9606	32.28	38.1	56.08	9	8	9	8	14	14	Oxidation of M (M176);Pyrolidone from Q (G19)	Oxidation of M (1);Pyrolidone from Q (1)			86.46435165991774	21.26176294503243	100.0	Confident
287	Related Proteins	OAS_antibody_pep_1520		OAS_antibody_pep_1520,OAS_antibody_pep_33472,OAS_antibody_pep_46438,OAS_antibody_pep_55878	OAS_antibody_pep_33472,OAS_antibody_pep_46438,OAS_antibody_pep_55878					100.0	100.0	100.0	2	2	2	2	9	7	Oxidation of M (M6)	Oxidation of M (1)			448.64719532628646	1.3627078047617802	99.66666666666667	Confident
288	Single Protein	Q9Y4L1	Hypoxia up-regulated protein 1 (HYOU1_HUMAN)	Q9Y4L1		11	HYOU1	Homo sapiens	9606	1.2	2.6	75.98	2	1	2	1	3	1					0.928876180799765	111.2662099148469	89.47368421052632	Doubtful
289	Single Protein	P0C0L5	Complement C4-B (CO4B_HUMAN)	P0C0L5		CHR_HSCHR6_MHC_SSTO_CTG1	C4B_2	Homo sapiens	9606	50.63	55.68	62.21	125	103	2	2	292	267	Oxidation of M (M192, M261, M327, M507, M1014, M1482, M1711);Pyrolidone from E (K934, R940);Pyrolidone from Q (L443, F646, E1011)	Oxidation of M (7);Pyrolidone from E (2);Pyrolidone from Q (3)			89.34547504029076	192.63054201152204	100.0	Confident
290	Single Protein	P13671	Complement component C6 (CO6_HUMAN)	P13671		5	C6	Homo sapiens	9606	24.73	31.48	68.31	30	22	30	22	56	48	Oxidation of M (M192, M923);Pyrolidone from carbamidomethylated C (R76, K821)	Oxidation of M (2);Pyrolidone from carbamidomethylated C (2)			46.41177882685722	104.71800479219137	100.0	Confident
291	Single Protein	P22792	Carboxypeptidase N subunit 2 (CPN2_HUMAN)	P22792		3	CPN2	Homo sapiens	9606	21.65	22.94	39.27	11	9	10	9	22	19	Oxidation of M (M318)	Oxidation of M (1)			62.59496917436172	60.51812939322751	100.0	Confident
292	Related Proteins	OAS_antibody_pep_3377		OAS_antibody_pep_3377,OAS_antibody_pep_8157	OAS_antibody_pep_8157					100.0	100.0	100.0	1	1	1	1	2	1					64.09245647518378	1.1545542642425	90.1639344262295	Doubtful
293	Related Proteins	P02774	Vitamin D-binding protein (VTDB_HUMAN)	P02774,P02774-3	P02774-3	4	GC	Homo sapiens	9606	67.72	71.52	71.31	54	42	15	10	182	159	Oxidation of M (M184, M273, M314, M342);Pyrolidone from E (K275, K393)	Oxidation of M (4);Pyrolidone from E (2)			314.96322545940905	52.88294019014569	100.0	Confident
294	Single Protein	P01834	Immunoglobulin kappa constant (IGKC_HUMAN)	P01834		2	IGKC	Homo sapiens	9606	82.24	82.24	89.72	34	29	2	2	259	213	Pyrolidone from E (C86)	Pyrolidone from E (1)			1542.2247339341097	11.75776829940104	98.24561403508771	Confident
295	Single Protein	P01833	Polymeric immunoglobulin receptor (PIGR_HUMAN)	P01833		1	PIGR	Homo sapiens	9606	13.09	15.18	78.14	9	7	9	7	12	10	Pyrolidone from carbamidomethylated C (R393)	Pyrolidone from carbamidomethylated C (1)			10.628397304929974	83.2316525429043	100.0	Confident
296	Related Proteins	OAS_antibody_pep_3128		A0A0B4J1X8,OAS_antibody_pep_3128,P0DP04	A0A0B4J1X8,P0DP04					100.0	100.0	100.0	2	2	1	1	2	2					49.474878682598	1.9090268899526799	100.0	Confident
297	Single Protein	O00391	Sulfhydryl oxidase 1 (QSOX1_HUMAN)	O00391		1	QSOX1	Homo sapiens	9606	9.91	18.34	80.05	11	5	3	1	15	11					10.610624065289622	82.52550569568608	100.0	Confident
298	Single Protein	P20851	C4b-binding protein beta chain (C4BPB_HUMAN)	P20851		1	C4BPB	Homo sapiens	9606	32.94	32.94	79.37	9	7	1	1	24	22					40.53847872055374	28.33844278503425	100.0	Confident
299	Single Protein	P05543	Thyroxine-binding globulin (THBG_HUMAN)	P05543		X	SERPINA7	Homo sapiens	9606	26.75	29.4	57.59	13	10	12	9	22	17	Oxidation of M (M178, M391)	Oxidation of M (2)			41.29806818903056	46.29460746494118	100.0	Confident
300	Related Proteins	OAS_antibody_pep_22461		OAS_antibody_pep_17836,OAS_antibody_pep_22461,OAS_antibody_pep_74513,OAS_antibody_pep_90922	OAS_antibody_pep_17836,OAS_antibody_pep_74513,OAS_antibody_pep_90922					100.0	100.0	100.0	2	1	2	1	5	4					256.3698259007351	1.28466085456936	87.3015873015873	Doubtful
301	Single Protein	Q9H4G4	Golgi-associated plant pathogenesis-related protein 1 (GAPR1_HUMAN)	Q9H4G4		9	GLIPR2	Homo sapiens	9606	14.29	14.29	87.01	1	1	1	1	1	1					5.261321053932997	17.207521557800707	96.55172413793103	Doubtful
302	Related Proteins	A0A0B4J2D9	Immunoglobulin kappa variable 1D-13 (KVD13_HUMAN)	A0A0B4J2D9,P0DP09	P0DP09	2	IGKV1D-13	Homo sapiens	9606	29.06	45.3	64.96	6	4	2	2	8	7					48.238006715533054	12.561300101395311	100.0	Confident
303	Single Protein	OAS_antibody_pep_70778		OAS_antibody_pep_70778						100.0	100.0	100.0	2	2	1	1	3	3					41.22906556883168	1.82299011052114	90.1639344262295	Confident
304	Single Protein	P08579	U2 small nuclear ribonucleoprotein B'' (RU2B_HUMAN)	P08579		20	SNRPB2	Homo sapiens	9606	8.44	14.22	62.22	2	1	2	1	7	4	Oxidation of M (M0)	Oxidation of M (1)			20.143343463629186	25.470108145398967	87.3015873015873	Doubtful
305	Single Protein	P01601	Immunoglobulin kappa variable 1D-16 (KVD16_HUMAN)	P01601		2	IGKV1D-16	Homo sapiens	9606	29.06	36.75	64.96	9	7	1	1	16	16	Oxidation of M (M25)	Oxidation of M (1)			62.15281634501375	12.72222423622672	100.0	Confident
306	Single Protein	P19827	Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN)	P19827		3	ITIH1	Homo sapiens	9606	39.85	44.13	52.69	45	36	7	7	103	93	Oxidation of M (M546, M556);Pyrolidone from Q (K183)	Oxidation of M (2);Pyrolidone from Q (1)			130.72190601917694	101.32561491857375	100.0	Confident
307	Single Protein	P08294	Extracellular superoxide dismutase [Cu-Zn] (SODE_HUMAN)	P08294		4	SOD3	Homo sapiens	9606	16.67	22.92	58.33	5	3	5	3	9	7					35.25085106135108	25.8346746071641	100.0	Confident
308	Related Proteins	P19320	Vascular cell adhesion protein 1 (VCAM1_HUMAN)	P19320,P19320-2,P19320-3	P19320-2,P19320-3	1	VCAM1	Homo sapiens	9606	2.98	8.53	67.39	4	2	4	2	4	3					2.831393659546271	81.22427162285919	98.27586206896551	Doubtful
309	Related Proteins	P01042-2	Isoform LMW of Kininogen-1 (KNG1_HUMAN)	P01042-2,P01042-3	P01042-3	3	KNG1	Homo sapiens	9606	43.79	49.88	78.92	30	26	2	1	92	81	Oxidation of M (M177, M374, M378);Pyrolidone from Q (T17)	Oxidation of M (3);Pyrolidone from Q (1)			97.27979669749703	47.85264890106369	100.0	Confident
310	Single Protein	P01023	Alpha-2-macroglobulin (A2MG_HUMAN)	P01023		12	A2M	Homo sapiens	9606	71.23	76.39	65.4	204	169	183	154	850	739	Oxidation of M (M31, M100, M150, M463, M606, M665, M672, M687, M696, M712, M1313, M1377, M1384);Pyrolidone from E (K840, L1109);Pyrolidone from Q (K187, R359, K1239);Pyrolidone from carbamidomethylated C (F769)	Oxidation of M (13);Pyrolidone from E (2);Pyrolidone from Q (3);Pyrolidone from carbamidomethylated C (1)			489.6357839330819	163.18789146924215	100.0	Confident
311	Single Protein	OAS_antibody_pep_9750		OAS_antibody_pep_9750						100.0	100.0	100.0	3	2	1	1	4	4					141.0034042454043	1.79782032788437	95.08196721311475	Confident
312	Single Protein	P07360	Complement component C8 gamma chain (CO8G_HUMAN)	P07360		9	C8G	Homo sapiens	9606	38.12	38.12	79.21	7	7	7	7	16	16	Oxidation of M (M83)	Oxidation of M (1)			70.50170212270216	22.26354245583352	100.0	Confident
313	Single Protein	OAS_antibody_pep_3298		OAS_antibody_pep_3298						100.0	100.0	100.0	1	1	1	1	2	2					100.71671731814594	1.36067352742804	91.07142857142857	Doubtful
314	Single Protein	P01024	Complement C3 (CO3_HUMAN)	P01024		19	C3	Homo sapiens	9606	79.07	82.14	79.68	253	213	249	212	1079	897	Oxidation of M (M24, M163, M337, M367, M372, M440, M580, M790, M808, M989, M1128, M1140, M1180, M1198, M1273, M1346, M1383, M1562, M1603, M1655);Pyrolidone from E (R507, R953, R1590);Pyrolidone from Q (K427, E1011, R1041, R1059, K1110, K1224, K1643);Pyrolidone from carbamidomethylated C (R1511)	Oxidation of M (20);Pyrolidone from E (3);Pyrolidone from Q (7);Pyrolidone from carbamidomethylated C (1)			469.30189639413817	187.02987531966338	100.0	Confident
315	Related Proteins	O75882	Attractin (ATRN_HUMAN)	O75882,O75882-2	O75882-2	20	ATRN	Homo sapiens	9606	5.74	13.51	52.06	14	5	1	1	28	21	Pyrolidone from carbamidomethylated C (K583)	Pyrolidone from carbamidomethylated C (1)			17.05686341678278	158.43246243861756	100.0	Confident
316	Single Protein	OAS_antibody_pep_23452		OAS_antibody_pep_23452						100.0	100.0	100.0	3	3	1	1	7	5					90.70394425142969	1.86602107629625	100.0	Confident
317	Single Protein	P07996	Thrombospondin-1 (TSP1_HUMAN)	P07996		15	THBS1	Homo sapiens	9606	11.11	15.81	68.97	13	8	3	3	23	19					14.851659678883975	129.29955521434027	100.0	Confident
318	Single Protein	OAS_antibody_pep_43284		OAS_antibody_pep_43284						100.0	100.0	100.0	2	2	1	1	3	3					83.48885777688413	1.86701632526898	100.0	Confident
319	Related Proteins	P02787	Serotransferrin (TRFE_HUMAN)	P02787,TRFE_HUMAN	TRFE_HUMAN	3	TF	Homo sapiens	9606	76.22	79.94	77.08	143	124	143	124	702	608	Oxidation of M (M127, M274, M331, M400, M482, M517);Pyrolidone from E (K277, K298, R345, K529);Pyrolidone from Q (C189, R620);Pyrolidone from carbamidomethylated C (W26, L191, R540, K682)	Oxidation of M (6);Pyrolidone from E (4);Pyrolidone from Q (2);Pyrolidone from carbamidomethylated C (4)			786.2643359409163	76.99961431644769	100.0	Confident
320	Single Protein	P80748	Immunoglobulin lambda variable 3-21 (LV321_HUMAN)	P80748		22	IGLV3-21	Homo sapiens	9606	29.06	38.46	40.17	3	2	1	1	7	6					52.50126753818246	12.43798082843176	100.0	Confident
321	Single Protein	OAS_antibody_pep_26818		OAS_antibody_pep_26818						100.0	100.0	100.0	3	3	1	1	4	4					59.78214507480593	1.93801705354497	100.0	Confident
322	Single Protein	P19652	Alpha-1-acid glycoprotein 2 (A1AG2_HUMAN)	P19652		9	ORM2	Homo sapiens	9606	45.77	50.25	70.65	20	16	15	12	83	61	Oxidation of M (M128);Pyrolidone from E (R112, K152)	Oxidation of M (1);Pyrolidone from E (2)			240.79806710922918	23.58763169001908	100.0	Confident
323	Single Protein	P02647	Apolipoprotein A-I (APOA1_HUMAN)	P02647		11	APOA1	Homo sapiens	9606	85.39	93.63	85.77	71	59	71	59	585	449	Oxidation of M (M109, M135, M171);Pyrolidone from E (R84);Pyrolidone from Q (R106, R154, R238)	Oxidation of M (3);Pyrolidone from E (1);Pyrolidone from Q (3)			1366.9325651737888	30.75893250011255	100.0	Confident
324	Single Protein	OAS_antibody_pep_88185		OAS_antibody_pep_88185						100.0	100.0	100.0	1	1	1	1	2	2	Phosphorylation of S (S7)	Phosphorylation of S (1)			128.18491295036756	1.18453833939484	89.47368421052632	Doubtful
325	Single Protein	Q13103	Secreted phosphoprotein 24 (SPP24_HUMAN)	Q13103		2	SPP2	Homo sapiens	9606	5.69	5.69	63.03	1	1	1	1	2	2					10.601759717699572	24.3217586669917	100.0	Doubtful
326	Single Protein	P10124	Serglycin (SRGN_HUMAN)	P10124		10	SRGN	Homo sapiens	9606	18.99	18.99	59.49	3	3	3	3	3	3					22.500543230649622	17.64063710280868	100.0	Confident
327	Single Protein	Q8WWZ8	Oncoprotein-induced transcript 3 protein (OIT3_HUMAN)	Q8WWZ8		10	OIT3	Homo sapiens	9606	1.47	8.99	60.18	3	1	3	1	4	2					4.2988842757745225	59.9825196835941	90.1639344262295	Doubtful
328	Related Proteins	P55058	Phospholipid transfer protein (PLTP_HUMAN)	P55058,P55058-2,P55058-3	P55058-2,P55058-3	20	PLTP	Homo sapiens	9606	10.95	18.66	64.71	7	4	1	1	10	9	Oxidation of M (M300)	Oxidation of M (1)			15.470592942285741	54.70454287690172	100.0	Confident
329	Single Protein	P02766	Transthyretin (TTHY_HUMAN)	P02766		18	TTR	Homo sapiens	9606	74.15	81.63	91.16	26	20	26	20	148	121	Pyrolidone from carbamidomethylated C (K28)	Pyrolidone from carbamidomethylated C (1)			626.0972054180266	15.87704705796229	100.0	Confident
330	Single Protein	P06276	Cholinesterase (CHLE_HUMAN)	P06276		3	BCHE	Homo sapiens	9606	7.81	13.62	57.31	7	3	7	3	7	4					6.130582793278449	68.37427020796248	99.66216216216216	Confident
331	Single Protein	P01721	Immunoglobulin lambda variable 6-57 (LV657_HUMAN)	P01721		22	IGLV6-57	Homo sapiens	9606	30.77	30.77	29.91	2	2	2	2	2	2	Oxidation of M (M21)	Oxidation of M (1)			40.28668692725837	12.55783732011248	100.0	Confident
332	Single Protein	A0A0B4J1V0	Immunoglobulin heavy variable 3-15 (HV315_HUMAN)	A0A0B4J1V0		14	IGHV3-15	Homo sapiens	9606	28.57	34.45	89.92	6	4	1	1	20	17	Pyrolidone from E (C18)	Pyrolidone from E (1)			100.48139788515961	12.91747841719379	100.0	Confident
333	Single Protein	P02746	Complement C1q subcomponent subunit B (C1QB_HUMAN)	P02746		1	C1QB	Homo sapiens	9606	11.46	23.32	69.17	6	3	6	3	11	8	Oxidation of M (M148)	Oxidation of M (1)			32.229349541806705	26.70448847022439	100.0	Confident
334	Related Proteins	Q9UHG3	Prenylcysteine oxidase 1 (PCYOX_HUMAN)	Q9UHG3,Q9UHG3-2	Q9UHG3-2	2	PCYOX1	Homo sapiens	9606	2.57	2.57	51.09	1	1	1	1	1	1					2.7326241132830296	56.6037451837769	100.0	Doubtful
335	Single Protein	P00738	Haptoglobin (HPT_HUMAN)	P00738		16	HP	Homo sapiens	9606	75.86	79.8	63.79	93	77	2	2	554	471	Oxidation of M (M262, M299, M342);Pyrolidone from E (N334, L363);Pyrolidone from carbamidomethylated C (G31, G90)	Oxidation of M (3);Pyrolidone from E (2);Pyrolidone from carbamidomethylated C (2)			1029.8511185233842	45.176564479296175	100.0	Confident
336	Related Proteins	P60985	Keratinocyte differentiation-associated protein (KTDAP_HUMAN)	P60985,P60985-2	P60985-2	19	KRTDAP	Homo sapiens	9606	28.28	28.28	39.39	2	2	2	2	4	4					72.30943807456632	11.042878627482411	100.0	Confident
337	Related Proteins	OAS_antibody_pep_2718		OAS_antibody_pep_2718,OAS_antibody_pep_85243	OAS_antibody_pep_85243					100.0	100.0	100.0	2	1	2	1	4	3					128.18491295036756	1.3336812556607702	90.0	Doubtful
338	Related Proteins	OAS_antibody_pep_1099		A0A0C4DH42,OAS_antibody_pep_1099,OAS_antibody_pep_42335	A0A0C4DH42,OAS_antibody_pep_42335					100.0	100.0	100.0	2	2	1	1	4	3					92.76539752987125	1.8950112398885401	100.0	Confident
339	Single Protein	A0A0B4J1V2	Immunoglobulin heavy variable 2-26 (HV226_HUMAN)	A0A0B4J1V2		14	IGHV2-26	Homo sapiens	9606	30.25	57.14	68.91	4	2	3	1	8	6					51.58661130929426	13.173741810542149	100.0	Confident
340	Single Protein	P03950	Angiogenin (ANGI_HUMAN)	P03950		14	ANG	Homo sapiens	9606	8.84	8.84	68.71	1	1	1	1	4	3					20.94109964040658	16.539439053175588	87.3015873015873	Doubtful
341	Single Protein	Q9Y6R7	IgGFc-binding protein (FCGBP_HUMAN)	Q9Y6R7		19	FCGBP	Homo sapiens	9606	0.81	3.09	39.94	9	3	9	3	11	7					1.632739743462301	571.6388422313165	100.0	Confident
342	Related Proteins	P00739	Haptoglobin-related protein (HPTR_HUMAN)	P00739,P00739-2	P00739-2	16	HPR	Homo sapiens	9606	62.64	65.52	80.75	38	35	7	7	201	172	Oxidation of M (M204, M241, M284)	Oxidation of M (3)			245.45966278781836	39.00467965351677	100.0	Confident
343	Related Proteins	OAS_antibody_pep_85378		OAS_antibody_pep_11616,OAS_antibody_pep_17068,OAS_antibody_pep_29127,OAS_antibody_pep_41353,OAS_antibody_pep_45028,OAS_antibody_pep_51230,OAS_antibody_pep_51595,OAS_antibody_pep_67091,OAS_antibody_pep_85378	OAS_antibody_pep_11616,OAS_antibody_pep_17068,OAS_antibody_pep_29127,OAS_antibody_pep_41353,OAS_antibody_pep_45028,OAS_antibody_pep_51230,OAS_antibody_pep_51595,OAS_antibody_pep_67091					100.0	100.0	100.0	1	1	1	1	2	2					141.0034042454043	1.15358014463717	89.47368421052632	Doubtful
344	Related Proteins	P36980	Complement factor H-related protein 2 (FHR2_HUMAN)	P36980,P36980-2	P36980-2	1	CFHR2	Homo sapiens	9606	24.44	31.48	53.7	9	7	3	2	15	13	Pyrolidone from carbamidomethylated C (K201)	Pyrolidone from carbamidomethylated C (1)			34.035304473028624	30.63063398867832	100.0	Confident
345	Single Protein	P00747	Plasminogen (PLMN_HUMAN)	P00747		6	PLG	Homo sapiens	9606	60.25	62.72	77.16	68	56	60	53	171	144	Oxidation of M (M75, M185, M200, M603);Pyrolidone from Q (K38);Pyrolidone from carbamidomethylated C (W162, W243, K396, F605)	Oxidation of M (4);Pyrolidone from Q (1);Pyrolidone from carbamidomethylated C (4)			155.94976509541718	90.5101571496778	100.0	Confident
346	Single Protein	OAS_antibody_pep_99350		OAS_antibody_pep_99350						100.0	100.0	100.0	1	1	1	1	2	1					37.106159011948506	1.89504762539726	89.47368421052632	Doubtful
347	Single Protein	OAS_antibody_pep_36029		OAS_antibody_pep_36029						100.0	100.0	100.0	1	1	1	1	1	1					50.35835865907297	1.44671030685958	96.49122807017544	Doubtful
